TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,3
16,3
17,4
18,5
19,5
20,6
21,7
22,8
23,8
24,9
25,11
26,12
27,13
28,14
29,17
30,17
31,20
