TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,1
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,4
22,4
23,5
24,3
25,3
26,2
27,5
28,6
29,8
30,8
31,6
32,10
33,9
34,10
35,12
36,14
37,17
38,16
39,19
40,21
